vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price ;;;
BMW 316;113.000 km;may-10;90 kW (122 CV);Manual;Gasolina;6,3;FR;147;€ 8.490;;;
BMW 640;125.500 km;ago-12;230 kW (313 CV);Automático;Diésel;5,4;BE;145;€ 25.000;;;
BMW X1;105.000 km;may-11;105 kW (143 CV);Manual;Diésel;5,2;Unknown;136;€ 8.500;;;
BMW 550;96.750 km;jul-10;300 kW (408 CV);Automático;Gasolina;10,4;DE;242;€ 19.690;;;
BMW X5;169.900 km;ago-11;180 kW (245 CV);Automático;Diésel;7,3;Unknown;195;€ 16.990;;;
BMW 116;99.850 km;jun-11;90 kW (122 CV);Manual;Gasolina;6,1;DE;143;€ 6.990;;;
BMW 118;87.500 km;oct-10;105 kW (143 CV);Manual;Gasolina;7,5;DE;178;€ 7.400;;;
BMW 520;401.039 km;jun-11;121 kW (165 CV);Automático;Diésel;4,7;NL;137;€ 8.950;;;
BMW 318;109.000 km;sep-12;100 kW (136 CV);Automático;Diésel;4,4;Unknown;117;€ 8.700;;;
BMW;97.678 km;oct-11;100 kW (136 CV);Manual;Gasolina;5,5;NL;132;€ 12.945;;;
BMW 116;131.081 km;abr-10;85 kW (116 CV);Manual;Diésel;4,4;BE;118;€ 6.850;;;
BMW M3;114.000 km;oct-11;309 kW (420 CV);Automático;Gasolina;11,2;Unknown;263;€ 37.499;;;
BMW 525;81.800 km;jun-10;150 kW (204 CV);Automático;Diésel;6,1;DE;160;€ 16.990;;;
BMW 330;248.906 km;dic-11;180 kW (245 CV);Automático;Diésel;6,3;NL;165;€ 9.999;;;
BMW 520;190.000 km;abr-11;135 kW (184 CV);Automático;Diésel;5,1;Unknown;135;€ 11.000;;;
BMW 320;184.000 km;jun-12;135 kW (184 CV);Automático;Diésel;4,7;AT;117;€ 12.500;;;
BMW 118;125.000 km;abr-12;125 kW (170 CV);Manual;Gasolina;5,7;Unknown;132;€ 11.400;;;
BMW 118;127.000 km;mar-10;105 kW (143 CV);Automático;Diésel;4 l/;IT;119;€ 8.900;;;
