vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price ;;;
BMW 530;161.230 km;jul-11;190 kW (258 CV);Automático;Diésel;5,3;ES;-/- ;€ 19.490;;;
BMW 325;146.000 km;jun-11;150 kW (204 CV);Manual;Diésel;5,8;Unknown;153;€ 13.000;;;
BMW 118;160.000 km;jun-11;105 kW (143 CV);Manual;Gasolina;6,5;Unknown;152;€ 16.500;;;
BMW 520;122.000 km;oct-11;135 kW (184 CV);Automático;Diésel;5,2;ES;-/- ;€ 15.700;;;
BMW 120;159.400 km;may-11;130 kW (177 CV);Automático;Diésel;5,5;Unknown;145;€ 12.800;;;
BMW X3;150.900 km;mar-11;135 kW (184 CV);Automático;Diésel;5,6;ES;-/- ;€ 15.390;;;
BMW X1;152.000 km;oct-11;105 kW (143 CV);Manual;Diésel;5,2;Unknown;136;€ 9.500;;;
BMW X1;152.000 km;oct-11;105 kW (143 CV);Manual;Diésel;5,2;Unknown;136;€ 9.500;;;
BMW 520;176.103 km;feb-11;135 kW (184 CV);Manual;Diésel;4,8;ES;-/- ;€ 15.900;;;
BMW 520;176.103 km;feb-11;135 kW (184 CV);Manual;Diésel;4,8;ES;-/- ;€ 13.900;;;
BMW 530;78.450 km;jun-11;180 kW (245 CV);Automático;Diésel;6,3;ES;-/- ;€ 19.500;;;
BMW 530;78.450 km;jun-11;180 kW (245 CV);Automático;Diésel;6,3;ES;-/- ;€ 19.500;;;
BMW 320;149.000 km;dic-11;135 kW (184 CV);Automático;Diésel;5,3;ES;140;€ 13.900;;;
BMW 335;131.526 km;abr-11;225 kW (306 CV);Automático;Gasolina;8,8;Unknown;205;€ 24.900;;;
BMW 118;150.353 km;may-11;105 kW (143 CV);Manual;Diésel;4,8;ES;-/- ;€ 11.400;;;
BMW Active Hybrid X6;152.571 km;mar-11;357 kW (485 CV);Automático;Electro/Gasolina;9,9;ES;-/- ;€ 29.500;;;
BMW 118;150.353 km;may-11;105 kW (143 CV);Manual;Diésel;4,8;ES;-/- ;€ 11.400;;;
BMW Active Hybrid X6;152.571 km;mar-11;357 kW (485 CV);Automático;Electro/Gasolina;9,9;ES;-/- ;€ 29.500;;;
BMW X1;131.677 km;may-11;130 kW (177 CV);Automático;Diésel;5,3;ES;-/- ;€ 13.100;;;
BMW X1;131.677 km;may-11;130 kW (177 CV);Automático;Diésel;5,3;ES;-/- ;€ 13.100;;;
BMW 530;78.450 km;jun-11;180 kW (245 CV);Automático;Diésel;6,3;ES;-/- ;€ 19.500;;;
BMW 730;165.000 km;ene-11;180 kW (245 CV);Automático;Diésel;7,2;ES;-/- ;€ 19.900;;;
BMW X1;131.677 km;may-11;130 kW (177 CV);Automático;Diésel;5,3;ES;-/- ;€ 13.100;;;
BMW M3;121.788 km;mar-11;309 kW (420 CV);Automático;Gasolina;-/- ;ES;-/- ;€ 30.490;;;
BMW 318;113.000 km;oct-11;105 kW (143 CV);Manual;Diésel;4,5;ES;-/- ;€ 10.990;;;
BMW X6;162.950 km;jul-11;225 kW (306 CV);Automático;Diésel;7,5;ES;-/- ;€ 24.990;;;
BMW 520;176.162 km;dic-11;135 kW (184 CV);Automático;Diésel;5,2;ES;-/- ;€ 13.990;;;
BMW 320;245.500 km;ene-11;135 kW (184 CV);Manual;Diésel;4,8;ES;-/- ;€ 6.990;;;
BMW 318;93.439 km;abr-11;105 kW (143 CV);Manual;Diésel;4,5;ES;-/- ;€ 12.990;;;
BMW X1;114.779 km;abr-11;105 kW (143 CV);Manual;Diésel;5,2;ES;-/- ;€ 13.500;;;
BMW X1;131.677 km;may-11;130 kW (177 CV);Automático;Diésel;5,3;ES;-/- ;€ 13.100;;;
BMW X1;114.000 km;dic-11;105 kW (143 CV);Manual;Diésel;5,2;ES;-/- ;€ 10.900;;;
BMW 118;177.900 km;jun-11;105 kW (143 CV);Manual;Diésel;4,5;ES;-/- ;€ 11.970;;;
BMW X3;150.900 km;mar-11;135 kW (184 CV);Automático;Diésel;5,6;ES;-/- ;€ 15.390;;;
BMW 320;111.785 km;jun-11;130 kW (177 CV);Automático;Diésel;5,5;ES;-/- ;€ 13.400;;;
BMW 118;150.353 km;may-11;105 kW (143 CV);Manual;Diésel;4,8;ES;-/- ;€ 11.400;;;
BMW 320;129.870 km;ene-11;135 kW (184 CV);Automático;Diésel;5,3;Unknown;140;€ 14.550;;;
BMW 335;239.000 km;jun-11;210 kW (286 CV);Automático;Diésel;6,6;Unknown;174;€ 18.900;;;
BMW X5;229.000 km;oct-11;180 kW (245 CV);Automático;Diésel;7,4;Unknown;195;€ 13.000;;;
BMW 530;94.000 km;dic-11;190 kW (258 CV);Automático;Diésel;5,7;Unknown;146;€ 21.750;;;
BMW X1;87.000 km;mar-11;105 kW (143 CV);Automático;Diésel;5,9;ES;-/- ;€ 13.300;;;
BMW X3;165.000 km;ago-11;135 kW (184 CV);Automático;Diésel;5,6;Unknown;147;€ 12.800;;;
BMW X3;79.000 km;oct-11;130 kW (177 CV);Automático;Diésel;6,7;ES;-/- ;€ 16.900;;;
BMW 320;275.500 km;jun-11;135 kW (184 CV);Manual;Diésel;4,5;ES;-/- ;€ 7.999;;;
BMW 318;107.855 km;jun-11;105 kW (143 CV);Manual;Diésel;4,5;ES;-/- ;€ 10.495;;;
BMW X3;199.000 km;jun-11;135 kW (184 CV);Automático;Diésel;5,6;ES;-/- ;€ 12.999;;;
BMW 116;94.571 km;mar-11;85 kW (116 CV);Manual;Diésel;4,4;ES;-/- ;€ 8.490;;;
BMW 528;148.000 km;jun-11;180 kW (245 CV);Automático;Gasolina;6,5;ES;-/- ;€ 16.490;;;
BMW X3;144.000 km;may-11;135 kW (184 CV);Automático;Diésel;5,6;ES;-/- ;€ 12.490;;;
BMW 535;185.000 km;nov-11;230 kW (313 CV);Automático;Diésel;5,7;Unknown;149;€ 26.990;;;
BMW 320;196.500 km;mar-11;135 kW (184 CV);Manual;Diésel;4,7;Unknown;125;€ 9.000;;;
BMW X6;162.950 km;jul-11;225 kW (306 CV);Automático;Diésel;7,5;ES;-/- ;€ 26.990;;;
BMW 520;176.162 km;dic-11;135 kW (184 CV);Automático;Diésel;5,2;ES;-/- ;€ 15.490;;;
BMW X1;136.388 km;ene-11;105 kW (143 CV);Manual;Diésel;5,2;ES;-/- ;€ 12.100;;;
BMW 520;135.000 km;ene-11;135 kW (184 CV);Manual;Diésel;4,5;ES;-/- ;€ 13.200;;;
BMW 116;124.000 km;oct-11;85 kW (116 CV);Automático;Diésel;4,4;Unknown;115;€ 7.000;;;
BMW 520;170.000 km;ene-11;135 kW (184 CV);Automático;Diésel;5,2;ES;-/- ;€ 13.990;;;
BMW 530;159.800 km;ene-11;180 kW (245 CV);Automático;Diésel;6,1;ES;-/- ;€ 19.990;;;
BMW X1;89.425 km;abr-11;105 kW (143 CV);Manual;Diésel;5,2;ES;136;€ 13.900;;;
BMW 730;179.000 km;ago-11;180 kW (245 CV);Automático;Diésel;7,2;ES;-/- ;€ 20.900;;;
BMW X1;212.230 km;dic-11;105 kW (143 CV);Automático;Diésel;5,7;Unknown;150;€ 10.900;;;
BMW X1;131.677 km;may-11;130 kW (177 CV);Automático;Diésel;5,3;ES;-/- ;€ 13.100;;;
BMW X6;199.500 km;mar-11;180 kW (245 CV);Automático;Diésel;7,4;Unknown;195;€ 23.550;;;
BMW 320;96.707 km;oct-11;120 kW (163 CV);Manual;Diésel;4,3;ES;114;€ 12.500;;;
BMW 320;245.500 km;ene-11;135 kW (184 CV);Manual;Diésel;4,8;ES;-/- ;€ 7.490;;;
BMW X1;19.000 km;dic-11;105 kW (143 CV);Manual;Diésel;5,2;Unknown;136;€ 9.500;;;
BMW X5;168.000 km;feb-11;225 kW (306 CV);Automático;Diésel;7,5;ES;-/- ;€ 19.999;;;
BMW 530;78.450 km;jun-11;180 kW (245 CV);Automático;Diésel;6,3;ES;-/- ;€ 19.500;;;
BMW X6 M;42.000 km;ene-11;408 kW (555 CV);Automático;Gasolina;13,9;ES;-/- ;€ 46.900;;;
BMW 520;91.628 km;ene-11;1 kW (1 CV);-/- (Cambio);Diésel;-/- ;Unknown;-/- ;€ 11.458;;;
BMW 535;190.000 km;ene-11;225 kW (306 CV);Automático;Gasolina;8,9;Unknown;209;€ 18.500;;;
BMW 535;176.127 km;sep-11;225 kW (306 CV);Automático;Gasolina;8,1;ES;-/- ;€ 17.499;;;
BMW 125;175.000 km;nov-11;160 kW (218 CV);Manual;Gasolina;7,9;Unknown;189;€ 14.800;;;
BMW 320;157.881 km;nov-11;135 kW (184 CV);Manual;Diésel;4,8;ES;-/- ;€ 11.499;;;
BMW X6;115.900 km;ago-11;225 kW (306 CV);Automático;Diésel;7,5;Unknown;198;€ 37.500;;;
BMW 118;230.000 km;jul-11;140 kW (190 CV);Manual;Diésel;4,7;Unknown;119;€ 12.450;;;
BMW 118;157.000 km;ene-11;105 kW (143 CV);Manual;Gasolina;5,9;Unknown;143;€ 12.900;;;
BMW 120;59.891 km;feb-11;125 kW (170 CV);Automático;Gasolina;7 l/;ES;-/- ;€ 13.500;;;
BMW 640;121.000 km;jul-11;235 kW (320 CV);Automático;Gasolina;7,9;Unknown;185;€ 38.000;;;
BMW X6 M;40.000 km;nov-11;408 kW (555 CV);Automático;Gasolina;13,9;Unknown;325;€ 45.000;;;
