vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
Porsche 911;43.788 km;may-13;294 kW (400 CV);Automático;Gasolina;-/- ;ES;-/- ;€ 86.450
Porsche Cayenne;349.000 km;mar-15;193 kW (262 CV);Automático;Diésel;6,6;Unknown;173;€ 31.000
Porsche Cayenne;130.000 km;jun-15;193 kW (262 CV);Automático;Diésel;6,6;ES;-/- ;€ 40.000
Porsche Macan;149.600 km;may-14;190 kW (258 CV);Automático;Diésel;6,3;Unknown;164;€ 42.000
Porsche 991;70.000 km;may-14;412 kW (560 CV);Automático;Gasolina;9,7;ES;-/- ;€ 130.000
Porsche 991;64.205 km;abr-13;294 kW (400 CV);Automático;Gasolina;9,2;ES;-/- ;€ 88.990
Porsche Panamera;159.000 km;may-13;184 kW (250 CV);Automático;Diésel;6,5;ES;-/- ;€ 37.990
Porsche Macan;16.100 km;ene-15;190 kW (258 CV);Automático;Diésel;6,1;ES;-/- ;€ 54.900
Porsche 991;70.000 km;feb-13;257 kW (349 CV);Automático;Gasolina;8,4;ES;-/- ;€ 78.900
Porsche Targa;60.000 km;jul-14;294 kW (400 CV);Automático;Gasolina;9,2;ES;214;€ 108.000
Porsche Cayman;56.338 km;jun-15;202 kW (275 CV);Automático;Gasolina;8,2;ES;-/- ;€ 48.999
Porsche Cayenne;122.500 km;abr-13;180 kW (245 CV);Automático;Diésel;7,2;Unknown;189;€ 36.000
Porsche 991;82.000 km;abr-13;294 kW (400 CV);Automático;Gasolina;9,1;ES;-/- ;€ 86.000
Porsche Cayenne;226.000 km;abr-14;180 kW (245 CV);Automático;Diésel;7,2;ES;-/- ;€ 29.900
Porsche Cayman;26.043 km;jun-15;250 kW (340 CV);Automático;Gasolina;8,2;ES;190;€ 62.990
Porsche Panamera;132.848 km;mar-15;324 kW (441 CV);Automático;Gasolina;10,7;ES;-/- ;€ 63.900
Porsche Panamera;163.000 km;oct-14;221 kW (300 CV);Automático;Diésel;6,4;ES;-/- ;€ 39.999
Porsche Panamera;89.000 km;mar-15;221 kW (300 CV);Automático;Diésel;-/- ;Unknown;-/- ;€ 49.990
Porsche Panamera;130.000 km;jul-13;220 kW (299 CV);Automático;Gasolina;9,6;Unknown;220;€ 36.500
Porsche Macan;79.000 km;feb-15;190 kW (258 CV);Automático;Diésel;6,1;ES;159;€ 48.990
Porsche Macan;65.000 km;mar-15;190 kW (258 CV);Automático;Diésel;6,1;ES;159;€ 53.990
Porsche Cayman;56.338 km;jun-15;202 kW (275 CV);Automático;Gasolina;8,2;ES;-/- ;€ 48.999
Porsche Macan;40.000 km;may-15;190 kW (258 CV);Automático;Diésel;6,1;ES;-/- ;€ 49.990
Porsche Cayenne;80.000 km;jun-15;193 kW (262 CV);Automático;Diésel;6,6;ES;-/- ;€ 44.990
Porsche 991;85.000 km;ene-14;383 kW (521 CV);Automático;Gasolina;9,7;ES;-/- ;€ 107.990
Porsche Cayenne;133.000 km;jul-13;368 kW (500 CV);Automático;Gasolina;11,5;ES;-/- ;€ 37.500
Porsche Cayenne;140.000 km;sep-13;180 kW (245 CV);Automático;Diésel;7,2;ES;-/- ;€ 35.900
Porsche Cayenne;199.800 km;abr-15;283 kW (385 CV);Automático;Diésel;8 l/;ES;-/- ;€ 34.990
Porsche Panamera;83.000 km;abr-13;316 kW (430 CV);Automático;Gasolina;10,9;Unknown;256;€ 46.000
Porsche Cayenne;118.000 km;sep-13;180 kW (245 CV);Automático;Diésel;7,2;ES;-/- ;€ 37.900
Porsche Panamera;115.758 km;sep-13;184 kW (250 CV);Automático;Diésel;-/- ;ES;-/- ;€ 40.490
Porsche Macan;54.986 km;jul-15;294 kW (400 CV);Automático;Gasolina;8,7;ES;-/- ;€ 66.900
Porsche Cayenne;115.000 km;jun-13;281 kW (382 CV);Automático;Diésel;8,3;ES;-/- ;€ 37.990
Porsche Panamera;98.500 km;jun-14;324 kW (441 CV);Automático;Gasolina;10,7;ES;-/- ;€ 59.990
Porsche Macan;54.986 km;jul-15;294 kW (400 CV);Automático;Gasolina;8,7;ES;-/- ;€ 66.900
Porsche Cayman;45.000 km;nov-15;239 kW (325 CV);Automático;Gasolina;8 l/;Unknown;188;€ 51.900
Porsche Macan;56.000 km;jul-14;294 kW (400 CV);Automático;Gasolina;8,7;ES;204;€ 52.900
Porsche 991;41.500 km;dic-13;294 kW (400 CV);Automático;Gasolina;8,9;ES;-/- ;€ 93.900
Porsche Panamera;117.000 km;abr-14;221 kW (300 CV);Automático;Diésel;6,4;ES;-/- ;€ 51.900
Porsche Cayenne;145.000 km;abr-14;180 kW (245 CV);Automático;Diésel;7,2;ES;-/- ;€ 39.400
Porsche Macan;86.500 km;abr-15;294 kW (400 CV);Automático;Gasolina;8,7;ES;-/- ;€ 58.900
Porsche 991;47.900 km;abr-15;412 kW (560 CV);Automático;Gasolina;9,7;ES;-/- ;€ 124.900
Porsche Macan;100.000 km;abr-15;190 kW (258 CV);Automático;Diésel;6,1;ES;-/- ;€ 42.990
Porsche 911;44.000 km;jul-14;350 kW (476 CV);Automático;Gasolina;12,4;ES;289;€ 119.900
Porsche Cayenne;143.000 km;nov-13;180 kW (245 CV);Automático;Diésel;7,2;ES;-/- ;€ 36.000
Porsche Macan;101.000 km;jun-14;190 kW (258 CV);Automático;Diésel;6,1;ES;-/- ;€ 43.900
Porsche 991;77.000 km;ago-15;272 kW (370 CV);Automático;Gasolina;8,9;ES;-/- ;€ 109.800
Porsche Boxster;72.000 km;feb-13;195 kW (265 CV);Automático;Gasolina;7,7;Unknown;180;€ 42.000
Porsche 911;56.488 km;mar-13;294 kW (400 CV);Automático;Gasolina;9,5;ES;224;€ 84.850
Porsche 991;56.488 km;mar-13;294 kW (400 CV);Automático;Gasolina;9,5;ES;224;€ 84.850
Porsche Macan;112.000 km;jun-14;294 kW (400 CV);Automático;Gasolina;8,7;Unknown;204;€ 47.999
Porsche Boxster;62.000 km;jul-13;195 kW (265 CV);Automático;Gasolina;7,7;ES;-/- ;€ 47.900
Porsche 991;55.900 km;sep-13;294 kW (400 CV);Automático;Gasolina;9,2;ES;-/- ;€ 90.900
Porsche Cayenne;72.000 km;ago-13;281 kW (382 CV);Automático;Diésel;8,3;ES;-/- ;€ 43.900
Porsche Macan;119.999 km;nov-14;190 kW (258 CV);Automático;Diésel;6,1;ES;-/- ;€ 39.990
Porsche 911;30.000 km;jul-14;350 kW (476 CV);Automático;Gasolina;12,4;ES;289;€ 120.000
Porsche Cayenne;175.000 km;jun-13;180 kW (245 CV);Automático;Diésel;7,2;ES;-/- ;€ 29.985
Porsche Cayenne;110.000 km;oct-14;180 kW (245 CV);Automático;Diésel;7,2;Unknown;189;€ 39.900
Porsche Macan;52.646 km;ago-15;190 kW (258 CV);Automático;Diésel;6,1;ES;-/- ;€ 49.900
Porsche 991;47.527 km;oct-14;350 kW (476 CV);Automático;Gasolina;12,4;ES;-/- ;€ 117.000
Porsche Cayenne;144.653 km;sep-13;309 kW (420 CV);Automático;Gasolina;-/- ;ES;-/- ;€ 39.990
Porsche Boxster;63.000 km;oct-14;195 kW (265 CV);Automático;Gasolina;7,7;ES;-/- ;€ 39.990
Porsche Boxster;63.000 km;oct-14;195 kW (265 CV);Automático;Gasolina;-/- ;ES;-/- ;€ 39.990
Porsche Cayenne;137.345 km;ene-15;193 kW (262 CV);Automático;Diésel;6,6;Unknown;173;€ 36.700
Porsche Cayenne;168.798 km;ene-14;282 kW (383 CV);Automático;Diésel;-/- ;ES;-/- ;€ 35.500
Porsche Cayenne;83.000 km;oct-15;193 kW (262 CV);Automático;Diésel;6,6;ES;-/- ;€ 46.800
Porsche 991;29.900 km;may-15;383 kW (521 CV);Automático;Gasolina;9,7;ES;-/- ;€ 117.900
Porsche Panamera;96.402 km;jun-14;184 kW (250 CV);Automático;Diésel;6,3;ES;-/- ;€ 41.200
Porsche Panamera;74.000 km;ene-14;309 kW (420 CV);Automático;Gasolina;8,9;ES;-/- ;€ 51.900
Porsche Cayenne;94.000 km;ene-13;180 kW (245 CV);Automático;Diésel;7,2;Unknown;189;€ 33.500
Porsche Cayenne;139.000 km;feb-14;193 kW (262 CV);Automático;Diésel;6,6;ES;-/- ;€ 29.990
Porsche Cayenne;158.000 km;nov-13;180 kW (245 CV);Automático;Diésel;7,2;ES;189;€ 29.995
Porsche Panamera;125.367 km;jun-13;220 kW (299 CV);Automático;Gasolina;9,6;ES;-/- ;€ 36.035
Porsche Cayenne;66.771 km;sep-13;176 kW (239 CV);Automático;Diésel;7,4;ES;-/- ;€ 38.950
Porsche Cayenne;117.397 km;oct-13;180 kW (245 CV);Automático;Diésel;-/- ;ES;-/- ;€ 35.990
Porsche Macan;84.906 km;jun-14;190 kW (258 CV);Automático;Diésel;6,1;ES;-/- ;€ 44.990
Porsche Cayenne;92.000 km;jun-15;419 kW (570 CV);Automático;Gasolina;11,5;ES;-/- ;€ 72.900
Porsche Cayenne;214.998 km;jun-15;193 kW (262 CV);Automático;Diésel;6,6;ES;-/- ;€ 29.950
Porsche Macan;69.999 km;jun-14;190 kW (258 CV);Automático;Diésel;6,3;ES;164;€ 45.990
Porsche Cayenne;109.990 km;ene-15;283 kW (385 CV);Automático;Diésel;8 l/;ES;-/- ;€ 37.990
Porsche 991;15.300 km;ago-15;368 kW (500 CV);Automático;Gasolina;12,7;ES;-/- ;€ 163.600
