vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
Porsche Cayenne;18.000 km;ene-20;324 kW (441 CV);Automático;Gasolina;9,4;ES;-/- ;€ 130.000
Porsche Taycan;1.000 km;feb-20;500 kW (680 CV);Automático;Eléctrico;-/- ;ES;0 g ;€ 156.900
Porsche 992;4.000 km;ene-20;283 kW (385 CV);Automático;Gasolina;9,4;ES;-/- ;€ 133.900
Porsche 992;3.000 km;ene-20;283 kW (385 CV);Automático;Gasolina;9,6;ES;-/- ;€ 145.900
Porsche 911;50 km;jul-20;478 kW (650 CV);Automático;Gasolina;11,1;ES;-/- ;€ 259.000
Porsche Taycan;13.900 km;ene-20;500 kW (680 CV);Automático;Eléctrico;-/- ;ES;0 g ;€ 149.900
Porsche Cayenne;5 km;jul-20;340 kW (462 CV);Automático;Electro/Gasolina;3,2;ES;-/- ;€ 103.500
Porsche Taycan;1.500 km;feb-20;500 kW (680 CV);Automático;Eléctrico;-/- ;ES;0 g ;€ 151.500
Porsche Macan;1 km;feb-20;180 kW (245 CV);Automático;Gasolina;8,1;ES;-/- ;€ 75.200
Porsche 992;150 km;may-20;331 kW (450 CV);Automático;Gasolina;9,9;ES;-/- ;€ 179.990
Porsche Cayenne;500 km;may-20;340 kW (462 CV);Automático;Electro/Gasolina;3,2;ES;-/- ;€ 109.990
Porsche Macan;10 km;jun-20;260 kW (354 CV);Automático;Gasolina;8,9;ES;-/- ;€ 89.000
Porsche Cayenne;10 km;jun-20;340 kW (462 CV);Automático;Electro/Gasolina;3,2;ES;-/- ;€ 97.000
Porsche Cayenne;10 km;jun-20;340 kW (462 CV);Automático;Electro/Gasolina;3,2;ES;-/- ;€ 98.000
Porsche Cayenne;10 km;jun-20;340 kW (462 CV);Automático;Electro/Gasolina;3,2;ES;-/- ;€ 104.000
Porsche Cayenne;10 km;jun-20;340 kW (462 CV);Automático;Electro/Gasolina;3,2;ES;-/- ;€ 101.500
Porsche Cayenne;10 km;jun-20;340 kW (462 CV);Automático;Electro/Gasolina;3,1;ES;-/- ;€ 124.000
Porsche Cayenne;10 km;may-20;340 kW (462 CV);Automático;Electro/Gasolina;3,1;ES;-/- ;€ 123.000
Porsche Cayenne;10 km;jun-20;340 kW (462 CV);Automático;Electro/Gasolina;3,1;ES;-/- ;€ 121.000
Porsche Panamera;10 km;jun-20;243 kW (330 CV);Automático;-/- (Combustible);-/- ;ES;-/- ;€ 122.000
Porsche Cayenne;10 km;jun-20;340 kW (462 CV);Automático;Electro/Gasolina;3,1;ES;-/- ;€ 123.000
Porsche Cayenne;10 km;jun-20;340 kW (462 CV);Automático;Electro/Gasolina;3,1;ES;-/- ;€ 126.000
Porsche Cayenne;10 km;jun-20;340 kW (462 CV);Automático;Electro/Gasolina;3,1;ES;-/- ;€ 132.000
Porsche Macan;10 km;may-20;280 kW (381 CV);Automático;Gasolina;9,6;ES;-/- ;€ 109.900
Porsche Taycan;8.061 km;ene-20;560 kW (761 CV);Automático;Eléctrico;-/- ;ES;0 g ;€ 181.900
Porsche Boxster;40 km;may-20;309 kW (420 CV);Manual;Gasolina;10,9;ES;-/- ;€ 115.900
Porsche 992;100 km;jun-20;478 kW (650 CV);Automático;Gasolina;-/- ;ES;-/- ;€ 259.990
Porsche Macan;10 km;may-20;260 kW (354 CV);Automático;Gasolina;8,9;ES;-/- ;€ 99.900
Porsche Cayenne;10 km;may-20;404 kW (549 CV);Automático;Gasolina;11,3;ES;-/- ;€ 172.900
Porsche Macan;10 km;may-20;260 kW (354 CV);Automático;Gasolina;8,9;ES;-/- ;€ 98.900
Porsche Macan;10 km;may-20;324 kW (441 CV);Automático;Gasolina;9,8;ES;-/- ;€ 119.900
Porsche 992;10 km;may-20;331 kW (450 CV);Automático;Gasolina;9,6;ES;-/- ;€ 169.900
Porsche Taycan;2.900 km;ene-20;500 kW (680 CV);Automático;Eléctrico;-/- ;ES;0 g ;€ 168.900
Porsche Cayenne;10 km;mar-20;324 kW (441 CV);Automático;Gasolina;9,3;ES;-/- ;€ 146.900
Porsche 991;10 km;ene-20;383 kW (521 CV);Automático;Gasolina;12,8;ES;-/- ;€ 262.900
Porsche Macan;10 km;ene-20;280 kW (381 CV);Automático;Gasolina;9,6;ES;-/- ;€ 103.500
Porsche Macan;10 km;ene-20;280 kW (381 CV);Automático;Gasolina;9,6;ES;-/- ;€ 117.900
Porsche Cayenne;10 km;ene-20;340 kW (462 CV);Automático;Electro/Gasolina;3,1;ES;-/- ;€ 120.900
Porsche Taycan;80 km;mar-20;390 kW (530 CV);Automático;Eléctrico;-/- ;ES;0 g ;€ 189.900
Porsche 992;8.800 km;ene-20;331 kW (450 CV);Automático;Gasolina;8,9;ES;-/- ;€ 149.000
Porsche Cayenne;2.500 km;feb-20;250 kW (340 CV);Automático;Gasolina;9,3;ES;-/- ;€ 99.900
Porsche 911;9.900 km;ene-20;331 kW (450 CV);Automático;Gasolina;-/- ;ES;-/- ;€ 141.900
