vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
BMW 520;156.000 km;ene-13;135 kW (184 CV);Manual;Diésel;4,5;Unknown;119;€ 18.000
BMW 116;169.720 km;mar-13;100 kW (136 CV);Manual;Gasolina;5,5;ES;-/- ;€ 10.990
BMW 320;125.000 km;ago-13;135 kW (184 CV);Manual;Diésel;4,7;Unknown;124;€ 13.800
BMW 116;117.200 km;ene-13;85 kW (116 CV);Manual;Diésel;3,8;ES;-/- ;€ 11.490
BMW 520;219.774 km;abr-13;135 kW (184 CV);Automático;Diésel;5,2;ES;-/- ;€ 12.990
BMW 118;149.990 km;oct-13;105 kW (143 CV);Manual;Diésel;4,4;ES;-/- ;€ 12.490
BMW X1;99.990 km;ago-13;85 kW (116 CV);Automático;Diésel;5 l/;ES;-/- ;€ 12.990
BMW 520;156.000 km;sep-13;135 kW (184 CV);Manual;Diésel;4,5;ES;-/- ;€ 14.950
BMW X5 M;150.000 km;may-13;408 kW (555 CV);Automático;Gasolina;13,9;ES;-/- ;€ 33.000
BMW 118;105.000 km;feb-13;105 kW (143 CV);Manual;Diésel;4,5;ES;-/- ;€ 11.499
BMW 318;119.000 km;jun-13;105 kW (143 CV);Automático;Diésel;4,3;ES;114;€ 15.500
BMW 118;89.000 km;feb-13;105 kW (143 CV);Automático;Diésel;4,4;ES;-/- ;€ 12.850
BMW 318;117.000 km;may-13;105 kW (143 CV);Manual;Diésel;-/- ;ES;-/- ;€ 15.000
BMW 118;130.638 km;ene-13;105 kW (143 CV);Automático;Diésel;4,4;ES;-/- ;€ 13.150
BMW 520;180.344 km;abr-13;135 kW (184 CV);Automático;Diésel;4,9;ES;-/- ;€ 13.990
BMW X1;90.796 km;ene-13;120 kW (163 CV);Manual;Diésel;4,5;ES;-/- ;€ 15.500
BMW X3;63.794 km;ene-13;105 kW (143 CV);Manual;Diésel;5,1;ES;-/- ;€ 18.200
BMW 318;230.000 km;jul-13;105 kW (143 CV);Manual;Diésel;4,3;ES;-/- ;€ 10.999
BMW 318;92.000 km;oct-13;105 kW (143 CV);Automático;Diésel;4,4;ES;-/- ;€ 17.000
BMW 320;140.000 km;jun-13;135 kW (184 CV);Automático;Diésel;4,4;ES;-/- ;€ 16.700
BMW 520;191.165 km;ene-13;135 kW (184 CV);Automático;Diésel;4,9;ES;-/- ;€ 13.500
BMW 525;129.600 km;nov-13;160 kW (218 CV);Automático;Diésel;5,1;ES;-/- ;€ 17.500
BMW X5;98.543 km;ene-13;180 kW (245 CV);Automático;Diésel;7,4;ES;195;€ 23.900
BMW 520;139.000 km;abr-13;135 kW (184 CV);Manual;Diésel;4,5;ES;119;€ 19.990
BMW 525;129.600 km;nov-13;160 kW (218 CV);Automático;Diésel;5,1;ES;-/- ;€ 17.500
BMW 740;217.000 km;jun-13;230 kW (313 CV);Automático;Diésel;6 l/;ES;-/- ;€ 22.790
BMW 528;187.000 km;nov-13;180 kW (245 CV);Manual;Gasolina;7 l/;Unknown;164;€ 27.000
BMW 320;136.000 km;ene-13;135 kW (184 CV);Automático;Diésel;4,4;ES;-/- ;€ 15.390
BMW 320;199.990 km;sep-13;135 kW (184 CV);Automático;Diésel;4,9;ES;-/- ;€ 14.890
BMW 320;131.598 km;sep-13;135 kW (184 CV);Automático;Diésel;4,9;ES;-/- ;€ 17.490
BMW X1;179.000 km;mar-13;160 kW (218 CV);Automático;Diésel;5,5;Unknown;145;€ 16.490
BMW X1;151.672 km;feb-13;180 kW (245 CV);Automático;Gasolina;7,2;ES;-/- ;€ 16.300
BMW 135;173.000 km;dic-13;235 kW (320 CV);Automático;Gasolina;7,5;ES;-/- ;€ 19.500
BMW 535;110.923 km;feb-13;225 kW (306 CV);Automático;Gasolina;8,4;Unknown;195;€ 14.300
BMW 118;141.960 km;feb-13;105 kW (143 CV);Manual;Diésel;4,4;ES;-/- ;€ 10.490
BMW 435;101.500 km;dic-13;225 kW (306 CV);Automático;Gasolina;7,6;ES;-/- ;€ 28.490
BMW 320;56.000 km;ene-13;135 kW (184 CV);Manual;Diésel;-/- ;ES;-/- ;€ 14.990
BMW 520;189.000 km;mar-13;135 kW (184 CV);Automático;Diésel;4,7;ES;-/- ;€ 13.950
BMW 116;66.000 km;may-13;85 kW (116 CV);Automático;Diésel;3,8;Unknown;99 g;€ 12.000
BMW 320;85.000 km;mar-13;135 kW (184 CV);Automático;Diésel;5,6;ES;149;€ 18.900
BMW 118;105.000 km;feb-13;105 kW (143 CV);Manual;Diésel;4,5;ES;-/- ;€ 11.499
BMW M6;94.000 km;feb-13;412 kW (560 CV);Automático;Gasolina;10,3;ES;239;€ 54.900
BMW 118;165.000 km;may-13;105 kW (143 CV);Manual;Diésel;4,4;ES;-/- ;€ 12.500
BMW 118;130.638 km;ene-13;105 kW (143 CV);Automático;Diésel;4,4;ES;-/- ;€ 13.150
BMW X1;151.672 km;feb-13;180 kW (245 CV);Automático;Gasolina;7,2;ES;-/- ;€ 16.300
BMW 320;104.632 km;ene-13;135 kW (184 CV);Manual;Diésel;4,7;ES;-/- ;€ 15.900
BMW 118;149.990 km;oct-13;105 kW (143 CV);Manual;Diésel;4,4;ES;-/- ;€ 13.490
BMW X1;138.350 km;ago-13;105 kW (143 CV);Manual;Diésel;4,9;ES;-/- ;€ 12.900
BMW 118;161.000 km;ene-13;105 kW (143 CV);Manual;Diésel;4,4;ES;-/- ;€ 12.990
BMW 525;179.557 km;ene-13;160 kW (218 CV);Automático;Diésel;5,4;ES;-/- ;€ 15.499
BMW 120;145.874 km;jul-13;135 kW (184 CV);Manual;Diésel;4,5;ES;114;€ 14.990
BMW X1;90.796 km;ene-13;120 kW (163 CV);Manual;Diésel;4,5;ES;-/- ;€ 15.500
BMW 320;168.000 km;ene-13;120 kW (163 CV);Manual;Diésel;4,1;Unknown;109;€ 14.500
BMW 740;240.700 km;ago-13;225 kW (306 CV);Automático;Diésel;7 l/;ES;-/- ;€ 22.999
BMW 520;219.774 km;abr-13;135 kW (184 CV);Automático;Diésel;5,2;ES;-/- ;€ 14.990
BMW 316;129.528 km;ago-13;85 kW (116 CV);Manual;Diésel;3,9;ES;-/- ;€ 12.990
BMW X1;169.000 km;jun-13;105 kW (143 CV);Manual;Diésel;4,9;ES;-/- ;€ 12.495
BMW 320;139.000 km;jul-13;135 kW (184 CV);Automático;Diésel;4,7;Unknown;123;€ 15.750
BMW 135;174.000 km;nov-13;235 kW (320 CV);Automático;Gasolina;7,5;ES;-/- ;€ 19.500
BMW X3;115.717 km;oct-13;230 kW (313 CV);Automático;Diésel;6,1;ES;-/- ;€ 24.990
BMW 116;58.500 km;dic-13;85 kW (116 CV);Manual;Diésel;3,8;Unknown;99 g;€ 13.900
BMW 520;180.344 km;abr-13;135 kW (184 CV);Automático;Diésel;4,9;ES;-/- ;€ 15.490
BMW 530;149.000 km;jul-13;190 kW (258 CV);Automático;Diésel;5,7;Unknown;149;€ 21.200
BMW 640;91.000 km;mar-13;230 kW (313 CV);Automático;Diésel;5,5;Unknown;149;€ 31.500
BMW 135;174.000 km;jul-13;235 kW (320 CV);Automático;Gasolina;7,5;ES;-/- ;€ 19.500
BMW X1;99.990 km;ago-13;85 kW (116 CV);Automático;Diésel;5 l/;ES;-/- ;€ 13.990
BMW BMW;56.653 km;may-13;135 kW (184 CV);Automático;Gasolina;-/- ;ES;-/- ;€ 20.490
BMW 525;190.203 km;feb-13;160 kW (218 CV);Manual;Diésel;5,3;ES;-/- ;€ 14.990
BMW 135;110.000 km;sep-13;225 kW (306 CV);Automático;Gasolina;8,5;Unknown;198;€ 24.000
BMW 320;167.000 km;ene-13;120 kW (163 CV);Manual;Diésel;4,1;Unknown;109;€ 14.500
BMW X3;160.000 km;jul-13;105 kW (143 CV);Manual;Diésel;5,1;Unknown;135;€ 16.000
BMW 320;210.000 km;jun-13;135 kW (184 CV);Manual;Diésel;4,5;ES;-/- ;€ 11.200
BMW X3;63.794 km;ene-13;105 kW (143 CV);Manual;Diésel;5,1;ES;-/- ;€ 18.200
BMW X1;90.796 km;ene-13;120 kW (163 CV);Manual;Diésel;4,5;ES;-/- ;€ 15.500
BMW 125;148.800 km;sep-13;160 kW (218 CV);Automático;Diésel;4,8;ES;-/- ;€ 19.980
BMW 535;168.000 km;abr-13;230 kW (313 CV);Automático;Diésel;5,7;ES;-/- ;€ 19.990
BMW 525;120.000 km;ene-13;160 kW (218 CV);Automático;Diésel;5,1;ES;-/- ;€ 18.890
BMW 116;248.485 km;oct-13;85 kW (116 CV);Manual;Diésel;3,8;ES;-/- ;€ 7.900
BMW 114;129.411 km;mar-13;70 kW (95 CV);Manual;Diésel;4,1;ES;-/- ;€ 11.975
BMW 320;117.000 km;ene-13;135 kW (184 CV);Automático;Diésel;4,7;ES;-/- ;€ 18.900
BMW X1;110.000 km;may-13;105 kW (143 CV);Manual;Diésel;4,9;ES;-/- ;€ 15.500
BMW 318;171.000 km;jul-13;105 kW (143 CV);Manual;Diésel;4,3;ES;-/- ;€ 13.700
BMW 116;69.000 km;jul-13;85 kW (116 CV);Manual;Diésel;4,3;ES;-/- ;€ 15.999
BMW 320;56.000 km;ene-13;135 kW (184 CV);Manual;Diésel;-/- ;ES;-/- ;€ 16.490
BMW 320;89.000 km;nov-13;135 kW (184 CV);Automático;Diésel;4,9;ES;-/- ;€ 19.800
BMW 116;159.925 km;may-13;85 kW (116 CV);Automático;Diésel;4,4;ES;-/- ;€ 12.500
BMW 320;120.000 km;dic-13;120 kW (163 CV);Automático;Diésel;4,1;Unknown;109;€ 16.999
BMW 320;169.990 km;jun-13;120 kW (163 CV);Automático;Diésel;4,3;ES;-/- ;€ 14.990
BMW 116;159.925 km;may-13;85 kW (116 CV);Automático;Diésel;3,8;Unknown;99 g;€ 12.500
BMW X3;63.794 km;ene-13;105 kW (143 CV);Manual;Diésel;5,1;ES;-/- ;€ 18.200
BMW 316;165.000 km;may-13;85 kW (116 CV);Manual;Diésel;4,7;ES;-/- ;€ 12.500
BMW 316;165.000 km;may-13;85 kW (116 CV);Manual;Diésel;4,7;ES;-/- ;€ 12.500
BMW 530;175.044 km;mar-13;190 kW (258 CV);Manual;Diésel;6,2;ES;-/- ;€ 17.300
BMW X5;112.000 km;sep-13;190 kW (258 CV);Automático;Diésel;6,2;ES;-/- ;€ 27.990
BMW 320;104.632 km;ene-13;135 kW (184 CV);Manual;Diésel;4,7;ES;-/- ;€ 15.900
BMW X6;119.787 km;ene-13;180 kW (245 CV);Automático;Diésel;7,4;ES;-/- ;€ 26.990
BMW 320;120.000 km;abr-13;135 kW (184 CV);Manual;Diésel;4,5;ES;-/- ;€ 16.999
BMW 520;137.042 km;abr-13;135 kW (184 CV);Automático;Diésel;5,2;Unknown;137;€ 12.660
BMW 530;90.000 km;sep-13;190 kW (258 CV);Automático;Diésel;6,2;Unknown;163;€ 16.460
BMW 520;83.300 km;oct-13;135 kW (184 CV);Automático;Diésel;5,6;Unknown;148;€ 18.000
BMW 530;291.735 km;jun-13;1 kW (1 CV);-/- (Cambio);Diésel;-/- ;Unknown;-/- ;€ 11.876
BMW 135;99.000 km;ene-13;235 kW (320 CV);Automático;Gasolina;8,5;ES;198;€ 26.990
BMW 320;137.000 km;jul-13;120 kW (163 CV);Manual;Diésel;4,1;ES;-/- ;€ 14.500
BMW X1;150.000 km;may-13;105 kW (143 CV);Manual;Diésel;4,9;Unknown;128;€ 12.000
BMW 530;179.300 km;mar-13;190 kW (258 CV);Automático;Diésel;5,1;ES;-/- ;€ 21.890
BMW M6;89.900 km;abr-13;412 kW (560 CV);Automático;Gasolina;9,9;ES;-/- ;€ 45.900
BMW;70.392 km;jul-13;150 kW (204 CV);Automático;Diésel;-/- ;ES;-/- ;€ 22.490
BMW 420;91.754 km;dic-13;135 kW (184 CV);Automático;Diésel;4,7;Unknown;124;€ 20.000
BMW 320;72.000 km;oct-13;135 kW (184 CV);Automático;Diésel;4,4;Unknown;117;€ 15.900
BMW 730;156.000 km;dic-13;190 kW (258 CV);Automático;Diésel;6 l/;Unknown;158;€ 21.000
BMW 520;98.000 km;jul-13;135 kW (184 CV);Automático;Diésel;4,8;ES;-/- ;€ 18.890
BMW 116;150.000 km;jun-13;85 kW (116 CV);Manual;Diésel;4,3;Unknown;109;€ 8.200
BMW 316;277.222 km;sep-13;1 kW (1 CV);-/- (Cambio);Diésel;-/- ;Unknown;-/- ;€ 7.827
BMW 118;150.000 km;feb-13;105 kW (143 CV);-/- (Cambio);Diésel;-/- ;Unknown;-/- ;€ 7.900
BMW 120;75.400 km;abr-13;130 kW (177 CV);Manual;Diésel;4,7;Unknown;124;€ 12.400
BMW 318;179.893 km;dic-13;105 kW (143 CV);Manual;Diésel;4,3;ES;-/- ;€ 12.490
BMW X1;98.000 km;jun-13;135 kW (184 CV);Automático;Diésel;5,5;ES;145;€ 19.999
BMW 335;127.325 km;abr-13;225 kW (306 CV);Automático;Electro/Gasolina;7,2;ES;169;€ 24.900
BMW 316;109.000 km;nov-13;85 kW (116 CV);Manual;Diésel;4,7;ES;-/- ;€ 12.999
BMW 520;141.000 km;ene-13;135 kW (184 CV);Manual;Diésel;4,5;ES;-/- ;€ 17.300
BMW 320;105.315 km;ago-13;135 kW (184 CV);Automático;Diésel;4,5;Unknown;119;€ 12.000
BMW X3;197.000 km;feb-13;135 kW (184 CV);Automático;Diésel;5,6;ES;-/- ;€ 17.900
BMW X5;132.000 km;abr-13;180 kW (245 CV);Automático;Diésel;7,4;ES;-/- ;€ 23.250
BMW M5;76.000 km;feb-13;412 kW (560 CV);Automático;Gasolina;9,9;ES;-/- ;€ 44.900
BMW 330;243.000 km;sep-13;190 kW (258 CV);Automático;Diésel;5,1;Unknown;135;€ 16.400
BMW X3;91.028 km;mar-13;190 kW (258 CV);Automático;Diésel;6 l/;Unknown;149;€ 15.215
BMW X6;146.000 km;jun-13;180 kW (245 CV);Automático;Diésel;7,4;ES;-/- ;€ 32.000
BMW 318;135.500 km;jul-13;105 kW (143 CV);Manual;Diésel;4,7;Unknown;123;€ 12.500
BMW 320;103.721 km;ago-13;135 kW (184 CV);Automático;Diésel;4,9;Unknown;129;€ 12.175
BMW X6;146.000 km;jun-13;180 kW (245 CV);Automático;Diésel;7,4;ES;195;€ 32.000
BMW X1;105.000 km;mar-13;135 kW (184 CV);Manual;Diésel;4,9;ES;-/- ;€ 16.999
BMW 320;152.500 km;dic-13;135 kW (184 CV);Automático;Diésel;4,7;Unknown;123;€ 15.900
BMW 118;138.000 km;ene-13;105 kW (143 CV);Manual;Diésel;4,4;ES;-/- ;€ 10.990
BMW 520;230.000 km;nov-13;135 kW (184 CV);Automático;Diésel;5,3;Unknown;139;€ 13.900
BMW 116;31.400 km;may-13;100 kW (136 CV);Manual;Gasolina;5,7;Unknown;132;€ 16.500
BMW X6 M;198.000 km;ene-13;258 kW (351 CV);Automático;Diésel;7,5;Unknown;-/- ;€ 30.000
BMW 318;185.739 km;ene-13;105 kW (143 CV);Automático;Diésel;4,3;ES;-/- ;€ 13.490
BMW 640;125.000 km;may-13;230 kW (313 CV);Automático;Diésel;-/- ;ES;-/- ;€ 41.490
BMW X3;310.528 km;mar-13;1 kW (1 CV);-/- (Cambio);Diésel;-/- ;Unknown;-/- ;€ 9.216
BMW 428;322.613 km;sep-13;1 kW (1 CV);-/- (Cambio);Gasolina;-/- ;Unknown;-/- ;€ 12.387
BMW 118;42.317 km;ago-13;105 kW (143 CV);Manual;Diésel;4,4;ES;-/- ;€ 14.500
BMW 118;42.317 km;ago-13;105 kW (143 CV);Manual;Diésel;4,4;Unknown;109;€ 14.500
BMW 318;100.000 km;dic-13;105 kW (143 CV);Manual;Diésel;4,5;ES;119;€ 16.990
BMW 118;98.000 km;ene-13;105 kW (143 CV);Manual;Diésel;4,5;ES;-/- ;€ 12.990
BMW 520;140.850 km;ago-13;135 kW (184 CV);Automático;Diésel;5,6;ES;-/- ;€ 19.900
BMW 116;63.500 km;ene-13;100 kW (136 CV);Manual;Gasolina;5,5;ES;-/- ;€ 13.900
BMW X1;163.000 km;dic-13;105 kW (143 CV);Automático;Diésel;5 l/;ES;-/- ;€ 13.900
BMW 320;266.207 km;sep-13;1 kW (1 CV);-/- (Cambio);Diésel;-/- ;Unknown;-/- ;€ 9.153
BMW 740;240.700 km;ago-13;225 kW (306 CV);Automático;Diésel;7 l/;ES;-/- ;€ 22.999
BMW 640;125.000 km;may-13;230 kW (313 CV);Automático;Diésel;-/- ;ES;-/- ;€ 41.490
BMW X1;99.000 km;jul-13;85 kW (116 CV);Manual;Diésel;4,9;ES;-/- ;€ 13.900
BMW 118;140.000 km;jun-13;105 kW (143 CV);Manual;Diésel;4,4;ES;-/- ;€ 11.999
BMW 116;131.000 km;jun-13;85 kW (116 CV);Manual;Diésel;4,3;ES;-/- ;€ 13.999
BMW 320;98.900 km;jun-13;135 kW (184 CV);Manual;Diésel;-/- ;ES;-/- ;€ 17.400
BMW 330;101.600 km;jun-13;190 kW (258 CV);Automático;Diésel;5,1;ES;-/- ;€ 19.900
