vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price ;
Audi A5;159.980 km;may-10;140 kW (190 CV);Manual;Diésel;6 l/;DE;159;€ 13.590;
Audi A6;164.980 km;ene-11;125 kW (170 CV);Manual;Diésel;5,8;DE;154;€ 9.990;
Audi Q5;170.000 km;mar-12;125 kW (170 CV);Automático;Diésel;-/- ;IT;-/- ;€ 14.999;
Audi A5;246.000 km;oct-10;100 kW (136 CV);Automático;Diésel;5,8;Unknown;152;€ 13.500;
Audi A6;112.000 km;abr-12;130 kW (177 CV);Manual;Diésel;5 l/;Unknown;132;€ 12.300;
Audi A1;75.000 km;oct-12;66 kW (90 CV);Manual;Diésel;3,8;Unknown;99 g;€ 9.100;
Audi Q5;179.000 km;mar-12;130 kW (177 CV);Automático;Diésel;6 l/;Unknown;159;€ 12.500;
Audi Q7;217 km;ago-11;180 kW (245 CV);Automático;Diésel;7,4;NL;195;€ 18.400;
Audi S3;99.850 km;ago-12;195 kW (265 CV);Manual;Gasolina;8,5;Unknown;199;€ 16.999;
Audi A6;295.500 km;jun-11;140 kW (190 CV);Automático;Diésel;6,5;Unknown;172;€ 6.500;
Audi RS5;118.000 km;sep-10;331 kW (450 CV);Automático;Gasolina;10,8;IT;252;€ 23.300;
Audi Q3;84.630 km;ene-12;125 kW (170 CV);Manual;Gasolina;7,3;DE;174;€ 14.490;
Audi Q5;128.000 km;may-12;125 kW (170 CV);Automático;Diésel;7 l/;Unknown;184;€ 15.000;
Audi A3;193.000 km;ago-10;77 kW (105 CV);Manual;Diésel;4,2;BE;112;€ 4.800;
Audi A6;126.659 km;nov-11;221 kW (300 CV);Automático;Gasolina;8,2;NL;190;€ 25.900;
Audi A1;148.000 km;feb-12;77 kW (105 CV);Manual;Diésel;3,9;Unknown;99 g;€ 8.000;
Audi Q5;166.500 km;dic-10;125 kW (170 CV);Automático;Diésel;6,8;DE;179;€ 14.900;
Audi A1;150.000 km;jul-11;77 kW (105 CV);Manual;Diésel;3,9;IT;103;€ 7.900;
Audi A1;121.480 km;feb-12;136 kW (185 CV);Automático;Gasolina;5,9;IT;139;€ 12.000;
Audi A1;153.000 km;nov-11;66 kW (90 CV);Manual;Diésel;3,8;DE;101;€ 7.499;
Audi A4 allroad;129.000 km;dic-12;180 kW (245 CV);Automático;Diésel;6,2;DE;164;€ 15.999;
Audi A4;189.000 km;jul-10;88 kW (120 CV);Manual;Diésel;5,2;AT;134;€ 8.490;
Audi A5;134.300 km;abr-11;132 kW (179 CV);Automático;Gasolina;7,2;DE;169;€ 14.450;
Audi TT;108.000 km;oct-12;125 kW (170 CV);Manual;Diésel;5,3;Unknown;139;€ 17.999;
Audi A7;151.000 km;sep-12;220 kW (299 CV);Automático;Gasolina;8,2;Unknown;190;€ 10.300;
Audi A7;147.000 km;feb-11;180 kW (245 CV);Automático;Diésel;6 l/;FR;158;€ 24.900;
Audi S3;129.999 km;ago-11;195 kW (265 CV);Manual;Gasolina;8,5;Unknown;199;€ 14.999;
Audi A3;92.452 km;nov-12;195 kW (265 CV);Automático;Gasolina;8,4;NL;195;€ 19.950;
Audi A7;157.500 km;may-11;220 kW (299 CV);Automático;Gasolina;8,2;Unknown;190;€ 15.900;
Audi A6 allroad;175.000 km;may-11;213 kW (290 CV);Automático;Gasolina;9,7;BE;225;€ 9.995;
Audi A5;134.575 km;may-11;155 kW (211 CV);Manual;Gasolina;6,7;FR;156;€ 15.990;
Audi A6;185.000 km;jun-11;140 kW (190 CV);Manual;Diésel;6,2;Unknown;164;€ 6.500;
Audi A5;191.214 km;jul-10;176 kW (239 CV);Automático;Diésel;6,6;DE;174;€ 11.990;
Audi A3;192.071 km;nov-11;77 kW (105 CV);Automático;Diésel;-/- ;NL;112;€ 5.950;
