vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
BMW i8;18.205 km;mar-17;266 kW (362 CV);Automático;Electro/Gasolina;2,1;ES;-/- ;€ 74.900
BMW 118;16.377 km;jun-17;100 kW (136 CV);Manual;Gasolina;5,3;ES;116;€ 21.900
BMW 320;39.650 km;oct-17;135 kW (184 CV);Automático;Gasolina;5,5;ES;128;€ 29.900
BMW 225;48.668 km;jun-17;165 kW (224 CV);Automático;Electro/Gasolina;2 l/;ES;-/- ;€ 23.600
BMW 330;46.438 km;ago-17;185 kW (252 CV);Automático;Gasolina;6,3;ES;-/- ;€ 25.363
BMW i3;15.377 km;nov-17;125 kW (170 CV);Automático;Eléctrico;-/- ;ES;0 g ;€ 22.495
BMW M4;41.110 km;ene-17;317 kW (431 CV);Automático;Gasolina;8,3;ES;-/- ;€ 61.990
BMW 225;40.829 km;jul-17;165 kW (224 CV);Automático;Electro/Gasolina;2 l/;ES;-/- ;€ 24.000
BMW 430;24.027 km;jul-17;185 kW (252 CV);Automático;Gasolina;6,4;ES;149;€ 42.900
BMW i3;11.000 km;ago-17;125 kW (170 CV);Automático;Eléctrico;-/- ;ES;0 g ;€ 21.890
BMW M4;68.000 km;nov-17;338 kW (460 CV);Automático;Gasolina;8,4;Unknown;197;€ 59.900
BMW 320;22.658 km;may-17;135 kW (184 CV);Automático;Gasolina;6,2;Unknown;147;€ 28.900
BMW M4;30.000 km;feb-17;317 kW (431 CV);Automático;Gasolina;8,3;Unknown;194;€ 61.000
BMW 330;87.998 km;mar-17;185 kW (252 CV);Automático;Electro/Gasolina;1,9;ES;-/- ;€ 24.500
BMW 330;50.456 km;feb-17;185 kW (252 CV);Automático;Gasolina;6 l/;ES;-/- ;€ 27.000
BMW i3;16.938 km;dic-17;125 kW (170 CV);Automático;Eléctrico;0,6;ES;0 g ;€ 31.300
BMW 118;48.272 km;abr-17;100 kW (136 CV);Automático;Gasolina;5 l/;ES;-/- ;€ 18.000
BMW 320;22.800 km;may-17;135 kW (184 CV);Automático;Gasolina;6,2;Unknown;147;€ 28.900
BMW X1;47.603 km;abr-17;170 kW (231 CV);Automático;Gasolina;6,4;Unknown;144;€ 23.499
BMW 120;69.000 km;abr-17;135 kW (184 CV);Manual;Gasolina;5,7;Unknown;131;€ 21.500
BMW 330;42.000 km;jun-17;185 kW (252 CV);Automático;Electro/Gasolina;7 l/;Unknown;159;€ 36.000
BMW M2;19.526 km;ene-17;272 kW (370 CV);Manual;Gasolina;8,5;ES;199;€ 49.750
BMW X5;29.967 km;abr-17;230 kW (313 CV);Automático;Electro/Gasolina;3,3;ES;77 g;€ 46.500
BMW M6;27.000 km;feb-17;412 kW (560 CV);Automático;Gasolina;9,9;ES;-/- ;€ 78.900
BMW M2;28.000 km;jun-17;272 kW (370 CV);Automático;Gasolina;7,9;ES;-/- ;€ 49.800
BMW M3;33.000 km;abr-17;317 kW (431 CV);Automático;Gasolina;8,3;ES;-/- ;€ 64.900
BMW 750;48.000 km;ene-17;300 kW (408 CV);Automático;Gasolina;11,4;ES;-/- ;€ 37.999
BMW M4;34.000 km;jul-17;317 kW (431 CV);Automático;Gasolina;9,9;ES;-/- ;€ 59.990
BMW 750;149.000 km;abr-17;330 kW (449 CV);Automático;Gasolina;8,3;ES;-/- ;€ 48.000
BMW 640;24.120 km;dic-17;250 kW (340 CV);Automático;Gasolina;7,6;ES;-/- ;€ 54.900
BMW 120;656.565 km;mar-17;135 kW (184 CV);Automático;Gasolina;5,5;Unknown;126;€ 6.777,00
BMW 330;30.000 km;ago-17;185 kW (252 CV);Automático;Gasolina;6,3;Unknown;145;€ 33.000
BMW M4;15.300 km;ene-17;338 kW (460 CV);Automático;Gasolina;8,4;ES;-/- ;€ 88.800
BMW 440;25.464 km;feb-17;240 kW (326 CV);Automático;Gasolina;7,6;ES;-/- ;€ 42.900
BMW i3;44.950 km;mar-17;125 kW (170 CV);Automático;Eléctrico;0,6;ES;0 g ;€ 23.900
BMW 540;33.500 km;dic-17;250 kW (340 CV);Automático;Gasolina;6,5;ES;-/- ;€ 49.900
BMW 540;46.400 km;may-17;250 kW (340 CV);Automático;Gasolina;6,5;ES;-/- ;€ 55.900
BMW M4;9.100 km;jun-17;317 kW (431 CV);Automático;Gasolina;8,3;ES;-/- ;€ 69.500
BMW X5;50.937 km;nov-17;230 kW (313 CV);Automático;Electro/Gasolina;3,3;ES;-/- ;€ 38.050
BMW 225;69.669 km;feb-17;165 kW (224 CV);Automático;Electro/Gasolina;2 l/;ES;-/- ;€ 22.075
