vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price ;;;;
Land Rover Range Rover;163.700 km;ene-11;230 kW (313 CV);Automático;Diésel;9,4;Unknown;253;€ 23.999;;;;
Land Rover Freelander;131.000 km;jun-11;110 kW (150 CV);Manual;Diésel;6 l/;Unknown;158;€ 11.000;;;;
Land Rover Freelander;74.086 km;sep-12;177 kW (241 CV);Automático;Gasolina;9,6;Unknown;224;€ 24.950;;;;
Land Rover Freelander;150.000 km;ene-12;140 kW (190 CV);Automático;Diésel;7 l/;Unknown;185;€ 11.000;;;;
Land Rover Range Rover Sport;180.000 km;nov-11;180 kW (245 CV);Automático;Diésel;-/- ;Unknown;-/- ;€ 12.500;;;;
Land Rover Range Rover Sport;145.000 km;oct-10;180 kW (245 CV);Automático;Diésel;9,2;IT;243;€ 13.500;;;;
Land Rover Discovery;169.789 km;dic-12;188 kW (256 CV);Manual;Diésel;-/- ;FR;-/- ;€ 24.490;;;;
Land Rover Freelander;150.000 km;feb-10;118 kW (160 CV);Automático;Diésel;6,7;IT;179;€ 6.750;;;;
Land Rover Discovery;137.472 km;abr-11;180 kW (245 CV);Automático;Diésel;9,3;IT;244;€ 15.000;;;;
Land Rover Range Rover Sport;163.000 km;abr-10;180 kW (245 CV);Automático;Diésel;9,2;DE;243;€ 13.800;;;;
Land Rover Range Rover Evoque;74.300 km;jul-12;177 kW (241 CV);Automático;Gasolina;8,7;DE;199;€ 23.290;;;;
Land Rover Range Rover Sport;160.000 km;dic-11;375 kW (510 CV);Automático;Gasolina;14,9;DE;348;€ 18.900;;;;
Land Rover Range Rover;135.000 km;abr-11;230 kW (313 CV);Automático;Diésel;9,4;IT;253;€ 21.900;;;;
Land Rover Range Rover;132.745 km;dic-11;230 kW (313 CV);Automático;Diésel;9,4;DE;253;€ 31.500;;;;
Land Rover Range Rover Evoque;136.000 km;oct-12;140 kW (190 CV);Automático;Diésel;5,7;Unknown;149;€ 21.700;;;;
Land Rover Range Rover Sport;154.000 km;may-11;180 kW (245 CV);Automático;Diésel;9,2;Unknown;243;€ 16.500;;;;
Land Rover Range Rover Sport;148.500 km;feb-11;180 kW (245 CV);Automático;Diésel;9,2;ES;-/- ;€ 22.990;;;;
Land Rover Freelander;150.000 km;dic-12;140 kW (190 CV);Automático;Diésel;7 l/;Unknown;185;€ 11.500;;;;
Land Rover Discovery;115.000 km;ene-11;180 kW (245 CV);Automático;Diésel;9,3;Unknown;244;€ 16.500;;;;
Land Rover Freelander;165.000 km;abr-10;118 kW (160 CV);Automático;Diésel;6,7;Unknown;179;€ 9.350;;;;
Land Rover Range Rover;240.000 km;ene-12;188 kW (256 CV);Automático;Diésel;9,4;Unknown;253;€ 14.900;;;;
Land Rover Range Rover;30.076 km;dic-12;190 kW (258 CV);Automático;Diésel;6,9;DE;182;€ 72.100;;;;
Land Rover Freelander;118.640 km;mar-10;118 kW (160 CV);Automático;Diésel;-/- ;IT;-/- ;€ 7.499;;;;
Land Rover Range Rover Sport;175.185 km;ene-12;188 kW (256 CV);Automático;Diésel;8,8;IT;230;€ 15.900;;;;
Land Rover Range Rover Evoque;106.000 km;ago-12;177 kW (241 CV);Automático;Gasolina;8,7;Unknown;199;€ 28.000;;;;
Land Rover Freelander;91.000 km;abr-11;110 kW (150 CV);Automático;Diésel;7 l/;DE;185;€ 11.999;;;;
Land Rover Range Rover;171.000 km;ago-11;180 kW (245 CV);Automático;Diésel;-/- ;IT;-/- ;€ 15.800;;;;
Land Rover Defender;27.800 km;jul-11;90 kW (122 CV);Manual;Diésel;-/- ;IT;-/- ;€ 35.400;;;;
Land Rover Range Rover Sport;168.000 km;ago-12;375 kW (510 CV);Automático;Gasolina;14,9;BE;348;€ 20.990;;;;
Land Rover Range Rover Sport;140.000 km;may-12;188 kW (256 CV);Automático;Diésel;8,8;Unknown;230;€ 18.990;;;;
Land Rover Range Rover Evoque;149.000 km;mar-12;140 kW (190 CV);Automático;Diésel;6,5;BE;174;€ 18.300;;;;
Land Rover Range Rover;199.999 km;jul-10;200 kW (272 CV);Automático;Diésel;11,1;BE;294;€ 8.999;;;;
Land Rover Defender;67.000 km;abr-10;90 kW (122 CV);Manual;Diésel;11 l;DE;291;€ 35.900;;;;
Land Rover Range Rover Sport;184.000 km;sep-11;180 kW (245 CV);Automático;Diésel;-/- ;Unknown;-/- ;€ 12.900;;;;
Land Rover Freelander;117.524 km;nov-10;112 kW (152 CV);Manual;Diésel;6 l/;NL;179;€ 10.945;;;;
Land Rover Range Rover Evoque;124.000 km;jul-11;110 kW (150 CV);Manual;Diésel;5,7;BE;149;€ 17.490;;;;
Land Rover Discovery;151.000 km;nov-12;155 kW (211 CV);Automático;Diésel;7,7;IT;203;€ 15.900;;;;
Land Rover Range Rover Evoque;176.000 km;sep-12;110 kW (150 CV);Manual;Diésel;5,7;Unknown;149;€ 15.500;;;;
Land Rover Range Rover Sport;189.000 km;feb-11;180 kW (245 CV);Automático;Diésel;9,2;IT;243;€ 12.000;;;;
Land Rover Range Rover;110.000 km;nov-11;230 kW (313 CV);Automático;Diésel;9,4;IT;253;€ 22.900;;;;
Land Rover Defender;120.000 km;abr-11;240 kW (326 CV);Manual;Diésel;-/- ;Unknown;-/- ;€ 34.950;;;;
Land Rover Range Rover Sport;183.000 km;may-11;180 kW (245 CV);Automático;Diésel;9,2;DE;243;€ 15.700;;;;
Land Rover Discovery;129.700 km;nov-12;188 kW (256 CV);Automático;Diésel;8,8;AT;230;€ 33.900;;;;
Land Rover Range Rover;110.000 km;abr-12;190 kW (258 CV);Automático;Diésel;6,9;ES;-/- ;€ 44.990;;;;
Land Rover Discovery;240.400 km;abr-12;155 kW (211 CV);Automático;Diésel;9,2;ES;207;€ 16.900;;;;
Land Rover Range Rover Evoque;149.000 km;ene-12;110 kW (150 CV);Manual;Diésel;5,7;Unknown;149;€ 21.900;;;;
Land Rover Discovery;192.000 km;sep-12;188 kW (256 CV);Automático;Diésel;8,8;DE;230;€ 17.900;;;;
Land Rover Range Rover;128.000 km;feb-12;375 kW (510 CV);Automático;Gasolina;-/- ;NL;348;€ 44.950;;;;
Land Rover Discovery;142.880 km;may-12;155 kW (211 CV);Automático;Diésel;8,5;IT;224;€ 17.900;;;;
Land Rover Range Rover Sport;250.206 km;jul-11;180 kW (245 CV);Semiautomático;Diésel;9,2;AT;243;€ 17.990;;;;
Land Rover Discovery;241.705 km;jul-12;188 kW (256 CV);Automático;Diésel;8,8;DE;230;€ 15.980;;;;
Land Rover Range Rover Evoque;149.000 km;ene-12;140 kW (190 CV);Automático;Diésel;6,4;AT;169;€ 17.790;;;;
Land Rover Discovery;120.955 km;jul-10;180 kW (245 CV);Automático;Diésel;-/- ;NL;-/- ;€ 19.950;;;;
Land Rover Range Rover Evoque;96.768 km;oct-12;110 kW (150 CV);Manual;Diésel;5,7;IT;149;€ 17.800;;;;
Land Rover Discovery;245.000 km;may-11;180 kW (245 CV);Automático;Diésel;9,3;DE;243;€ 11.750;;;;
Land Rover Freelander;122.691 km;abr-11;110 kW (150 CV);Manual;Diésel;6,2;ES;-/- ;€ 12.500;;;;
Land Rover Range Rover;151.200 km;feb-12;230 kW (313 CV);Automático;Diésel;9,4;DE;249;€ 19.980;;;;
Land Rover Range Rover Sport;42.500 km;ago-10;180 kW (245 CV);Automático;Diésel;9,2;Unknown;243;€ 19.499;;;;
Land Rover Range Rover Sport;257.000 km;nov-10;180 kW (245 CV);Automático;Diésel;9,2;Unknown;243;€ 7.200;;;;
Land Rover Range Rover Sport;151.000 km;ene-11;180 kW (245 CV);Automático;Diésel;9,2;ES;-/- ;€ 17.000;;;;
Land Rover Range Rover Evoque;159.000 km;dic-12;110 kW (150 CV);Manual;Diésel;5,7;Unknown;149;€ 14.900;;;;
Land Rover Range Rover Sport;245.000 km;dic-11;155 kW (211 CV);Automático;Diésel;9,2;Unknown;243;€ 14.000;;;;
Land Rover Range Rover Sport;178.400 km;abr-11;180 kW (245 CV);Automático;Diésel;9,2;Unknown;243;€ 14.500;;;;
